tick,RTM,RTM45C,RTM45P,RTM46C,RTM46P,RTM47C,RTM47P,RTM48C,RTM48P,RTM49C,RTM49P,RTM50C,RTM50P,RTM51C,RTM51P,RTM52C,RTM52P,RTM53C,RTM53P,RTM54C,RTM54P
600,53.04,8.08,0.02,7.08,0.02,6.08,0.02,5.08,0.02,4.08,0.02,3.08,0.02,2.09,0.02,1.17,0.09,0.47,0.39,0.12,1.04
599,53.08,8.08,0.02,7.08,0.02,6.08,0.02,5.08,0.02,4.08,0.02,3.08,0.02,2.09,0.02,1.17,0.09,0.47,0.38,0.13,1.04
598,53.16,8.15,0.01,7.15,0.02,6.15,0.02,5.15,0.02,4.15,0.02,3.15,0.02,2.16,0.02,1.23,0.08,0.52,0.37,0.13,1.01
597,53.08,8.09,0.02,7.09,0.02,6.09,0.02,5.09,0.02,4.09,0.02,3.09,0.02,2.11,0.02,1.19,0.1,0.51,0.41,0.14,1.05
596,53.5,8.49,0.01,7.49,0.02,6.49,0.02,5.49,0.02,4.49,0.02,3.49,0.02,2.49,0.02,1.53,0.05,0.72,0.24,0.23,0.77
595,53.57,8.59,0.02,7.58,0.02,6.58,0.02,5.58,0.02,4.58,0.02,3.58,0.02,2.59,0.02,1.63,0.05,0.81,0.22,0.29,0.71
594,53.59,8.58,0.01,7.58,0.02,6.58,0.02,5.58,0.02,4.58,0.02,3.58,0.02,2.58,0.02,1.62,0.04,0.81,0.23,0.27,0.71
593,53.54,8.54,0.02,7.54,0.02,6.54,0.02,5.54,0.02,4.54,0.02,3.54,0.02,2.55,0.02,1.59,0.04,0.78,0.23,0.27,0.72
592,53.32,8.32,0.01,7.32,0.02,6.32,0.02,5.32,0.02,4.32,0.02,3.32,0.02,2.33,0.02,1.38,0.06,0.62,0.29,0.17,0.87
591,53.13,8.13,0.02,7.13,0.02,6.13,0.02,5.13,0.02,4.13,0.02,3.13,0.02,2.14,0.02,1.22,0.09,0.52,0.38,0.15,1.03
590,53.06,8.06,0.01,7.06,0.02,6.06,0.02,5.06,0.02,4.06,0.02,3.06,0.01,2.08,0.02,1.16,0.11,0.49,0.43,0.13,1.08
589,53.34,8.33,0.02,7.33,0.02,6.33,0.02,5.33,0.02,4.33,0.02,3.32,0.02,2.34,0.02,1.4,0.06,0.64,0.3,0.2,0.86
588,53.39,8.39,0.01,7.39,0.02,6.39,0.02,5.39,0.02,4.39,0.02,3.39,0.02,2.4,0.02,1.44,0.05,0.67,0.27,0.2,0.83
587,53.24,8.24,0.02,7.24,0.02,6.24,0.02,5.24,0.02,4.24,0.02,3.24,0.02,2.25,0.02,1.31,0.07,0.57,0.33,0.16,0.92
586,53.36,8.35,0.01,7.35,0.02,6.35,0.02,5.35,0.02,4.35,0.02,3.35,0.02,2.35,0.02,1.4,0.05,0.62,0.28,0.18,0.85
585,53.17,8.18,0.02,7.17,0.02,6.17,0.02,5.17,0.02,4.17,0.02,3.17,0.02,2.18,0.02,1.26,0.07,0.52,0.35,0.14,0.97
584,53.01,8.02,0.01,7.02,0.02,6.02,0.02,5.02,0.02,4.02,0.02,3.02,0.02,2.03,0.02,1.11,0.1,0.44,0.41,0.1,1.1
583,52.99,8.0,0.02,7.0,0.02,6.0,0.02,5.0,0.02,4.0,0.02,3.0,0.02,2.01,0.02,1.1,0.1,0.42,0.43,0.1,1.11
582,53.09,8.08,0.01,7.08,0.02,6.08,0.02,5.08,0.02,4.08,0.02,3.08,0.02,2.09,0.02,1.18,0.1,0.48,0.4,0.12,1.06
581,53.0,8.01,0.02,7.01,0.02,6.01,0.02,5.01,0.02,4.01,0.02,3.01,0.02,2.02,0.02,1.12,0.11,0.45,0.44,0.12,1.12
580,53.19,8.19,0.01,7.19,0.02,6.19,0.02,5.19,0.02,4.19,0.02,3.19,0.02,2.2,0.02,1.28,0.08,0.54,0.36,0.15,0.98
579,53.01,8.02,0.02,7.02,0.02,6.02,0.02,5.02,0.02,4.02,0.02,3.02,0.02,2.03,0.02,1.13,0.11,0.46,0.45,0.12,1.11
578,53.33,8.33,0.01,7.33,0.02,6.33,0.02,5.33,0.02,4.33,0.02,3.33,0.02,2.34,0.02,1.4,0.07,0.65,0.3,0.2,0.88
577,53.52,8.52,0.02,7.52,0.02,6.52,0.02,5.52,0.02,4.52,0.02,3.52,0.02,2.53,0.02,1.58,0.05,0.78,0.26,0.27,0.75
576,53.7,8.7,0.01,7.7,0.02,6.7,0.02,5.7,0.02,4.7,0.02,3.7,0.02,2.7,0.02,1.75,0.04,0.9,0.21,0.33,0.66
575,53.7,8.71,0.02,7.7,0.02,6.7,0.02,5.7,0.02,4.7,0.02,3.71,0.02,2.71,0.02,1.76,0.05,0.93,0.22,0.36,0.67
574,53.55,8.56,0.01,7.55,0.02,6.55,0.02,5.55,0.02,4.55,0.02,3.55,0.02,2.55,0.02,1.61,0.06,0.81,0.26,0.29,0.74
573,53.56,8.55,0.02,7.55,0.02,6.55,0.02,5.55,0.02,4.55,0.02,3.55,0.02,2.56,0.02,1.62,0.05,0.81,0.26,0.3,0.75
572,53.47,8.48,0.01,7.48,0.02,6.48,0.02,5.48,0.02,4.48,0.02,3.48,0.02,2.48,0.02,1.54,0.06,0.75,0.28,0.26,0.78
571,53.92,8.93,0.02,7.93,0.02,6.93,0.02,5.93,0.02,4.93,0.02,3.93,0.02,2.93,0.02,1.96,0.04,1.09,0.16,0.47,0.54
570,54.03,9.04,0.01,8.04,0.02,7.04,0.02,6.04,0.02,5.04,0.02,4.04,0.02,3.05,0.02,2.07,0.02,1.17,0.13,0.5,0.48
569,53.81,8.82,0.02,7.82,0.02,6.82,0.02,5.82,0.02,4.82,0.02,3.83,0.02,2.85,0.03,1.94,0.13,1.16,0.34,0.59,0.77
568,53.7,8.7,0.01,7.7,0.02,6.7,0.02,5.7,0.02,4.7,0.02,3.7,0.02,2.74,0.04,1.85,0.14,1.09,0.39,0.54,0.84
567,53.74,8.73,0.02,7.73,0.02,6.73,0.02,5.73,0.02,4.73,0.02,3.74,0.02,2.77,0.04,1.87,0.15,1.12,0.38,0.57,0.84
566,53.87,8.87,0.01,7.87,0.02,6.87,0.02,5.87,0.02,4.88,0.02,3.88,0.02,2.91,0.03,1.99,0.12,1.21,0.34,0.63,0.77
565,53.79,8.78,0.02,7.78,0.02,6.78,0.02,5.78,0.02,4.78,0.02,3.79,0.02,2.81,0.03,1.91,0.13,1.14,0.36,0.58,0.8
564,53.96,8.95,0.01,7.95,0.02,6.95,0.02,5.95,0.02,4.95,0.02,3.96,0.02,2.97,0.02,2.06,0.1,1.25,0.3,0.64,0.69
563,53.5,8.51,0.02,7.5,0.02,6.5,0.02,5.5,0.02,4.5,0.02,3.51,0.02,2.54,0.04,1.66,0.17,0.94,0.44,0.44,0.94
562,53.67,8.66,0.01,7.66,0.02,6.66,0.02,5.66,0.02,4.66,0.02,3.67,0.02,2.69,0.03,1.78,0.12,1.03,0.37,0.48,0.85
561,53.51,8.51,0.02,7.51,0.02,6.51,0.02,5.51,0.02,4.51,0.02,3.52,0.02,2.55,0.04,1.66,0.15,0.92,0.41,0.43,0.9
560,53.69,8.69,0.01,7.69,0.02,6.69,0.02,5.69,0.02,4.69,0.02,3.7,0.02,2.72,0.03,1.82,0.12,1.06,0.36,0.51,0.81
559,53.54,8.54,0.02,7.54,0.02,6.54,0.02,5.54,0.02,4.54,0.02,3.54,0.02,2.57,0.04,1.68,0.15,0.93,0.41,0.44,0.9
558,53.44,8.43,0.01,7.43,0.02,6.43,0.02,5.43,0.02,4.43,0.02,3.44,0.02,2.47,0.04,1.58,0.15,0.86,0.43,0.37,0.96
557,53.57,8.58,0.02,7.58,0.02,6.58,0.02,5.58,0.02,4.58,0.02,3.58,0.02,2.61,0.03,1.71,0.12,0.95,0.37,0.44,0.86
556,53.8,8.81,0.01,7.81,0.02,6.81,0.02,5.81,0.02,4.81,0.02,3.81,0.02,2.83,0.02,1.9,0.09,1.11,0.3,0.53,0.74
555,53.61,8.6,0.02,7.6,0.02,6.6,0.02,5.6,0.02,4.6,0.02,3.61,0.02,2.63,0.03,1.74,0.13,0.99,0.39,0.47,0.87
554,53.45,8.45,0.01,7.45,0.02,6.45,0.02,5.45,0.02,4.45,0.02,3.46,0.02,2.49,0.04,1.61,0.17,0.89,0.45,0.4,0.98
553,53.45,8.45,0.02,7.44,0.02,6.44,0.02,5.44,0.02,4.45,0.02,3.45,0.02,2.49,0.04,1.6,0.16,0.89,0.45,0.41,0.97
552,53.57,8.57,0.01,7.57,0.02,6.57,0.02,5.57,0.02,4.57,0.02,3.57,0.02,2.61,0.04,1.72,0.15,0.98,0.41,0.46,0.89
551,53.13,8.13,0.02,7.13,0.02,6.13,0.02,5.13,0.02,4.13,0.02,3.15,0.02,2.2,0.06,1.35,0.22,0.71,0.57,0.3,1.17
550,52.95,7.95,0.01,6.95,0.02,5.95,0.02,4.95,0.02,3.95,0.02,2.97,0.02,2.03,0.08,1.22,0.27,0.61,0.66,0.24,1.31
549,52.97,7.96,0.02,6.96,0.02,5.96,0.02,4.96,0.02,3.96,0.02,2.98,0.02,2.04,0.08,1.23,0.27,0.63,0.67,0.26,1.3
548,53.03,8.02,0.01,7.02,0.02,6.02,0.02,5.02,0.02,4.03,0.02,3.04,0.02,2.1,0.07,1.27,0.25,0.65,0.62,0.26,1.25
547,53.33,8.32,0.02,7.32,0.02,6.32,0.02,5.32,0.02,4.32,0.02,3.32,0.02,2.36,0.04,1.48,0.17,0.79,0.47,0.34,1.03
546,52.95,7.96,0.01,6.96,0.02,5.96,0.02,4.96,0.02,3.96,0.02,2.97,0.02,2.02,0.07,1.2,0.24,0.58,0.63,0.22,1.28
545,52.83,7.83,0.02,6.83,0.02,5.83,0.02,4.83,0.02,3.83,0.02,2.85,0.02,1.91,0.08,1.1,0.27,0.52,0.69,0.19,1.36
544,52.77,7.77,0.01,6.77,0.02,5.77,0.02,4.77,0.02,3.77,0.02,2.78,0.02,1.85,0.09,1.06,0.29,0.5,0.73,0.17,1.43
543,53.01,8.0,0.02,7.0,0.02,6.0,0.02,5.0,0.02,4.0,0.02,3.01,0.02,2.06,0.06,1.23,0.23,0.61,0.6,0.24,1.23
542,53.18,8.18,0.01,7.18,0.02,6.18,0.02,5.18,0.02,4.18,0.02,3.19,0.02,2.23,0.04,1.36,0.18,0.7,0.51,0.27,1.11
541,53.11,8.11,0.02,7.11,0.02,6.11,0.02,5.11,0.02,4.11,0.02,3.11,0.02,2.15,0.05,1.3,0.19,0.65,0.54,0.25,1.15
540,53.11,8.11,0.01,7.11,0.02,6.11,0.02,5.11,0.02,4.11,0.02,3.12,0.02,2.16,0.05,1.31,0.2,0.66,0.55,0.25,1.17
539,52.91,7.91,0.02,6.91,0.02,5.91,0.02,4.91,0.02,3.92,0.02,2.95,0.04,2.05,0.14,1.28,0.37,0.7,0.79,0.33,1.42
538,52.96,7.95,0.01,6.95,0.02,5.95,0.02,4.95,0.02,3.96,0.02,2.98,0.03,2.07,0.12,1.28,0.34,0.69,0.75,0.31,1.38
537,52.9,7.89,0.02,6.89,0.02,5.89,0.02,4.89,0.02,3.9,0.02,2.93,0.04,2.03,0.14,1.26,0.37,0.68,0.79,0.32,1.43
536,53.33,8.32,0.01,7.32,0.02,6.32,0.02,5.32,0.02,4.33,0.02,3.35,0.02,2.41,0.09,1.58,0.26,0.92,0.59,0.45,1.15
535,53.43,8.44,0.02,7.44,0.02,6.44,0.02,5.44,0.02,4.44,0.02,3.45,0.02,2.5,0.07,1.65,0.22,0.96,0.52,0.48,1.03
534,53.74,8.73,0.01,7.73,0.02,6.73,0.02,5.73,0.02,4.73,0.02,3.74,0.02,2.78,0.05,1.89,0.16,1.14,0.41,0.59,0.88
533,53.79,8.8,0.02,7.8,0.02,6.8,0.02,5.8,0.02,4.8,0.02,3.81,0.02,2.84,0.04,1.96,0.15,1.19,0.39,0.64,0.83
532,53.73,8.74,0.01,7.74,0.02,6.74,0.02,5.74,0.02,4.74,0.02,3.75,0.02,2.79,0.05,1.9,0.16,1.16,0.42,0.6,0.87
531,53.74,8.74,0.02,7.73,0.02,6.73,0.02,5.73,0.02,4.73,0.02,3.74,0.02,2.78,0.05,1.9,0.16,1.14,0.41,0.6,0.86
530,53.79,8.79,0.03,7.79,0.02,6.79,0.02,5.79,0.02,4.79,0.02,3.8,0.02,2.84,0.05,1.95,0.16,1.2,0.4,0.63,0.84
529,53.69,8.71,0.02,7.7,0.02,6.7,0.02,5.7,0.02,4.7,0.02,3.71,0.02,2.75,0.05,1.87,0.18,1.13,0.44,0.6,0.9
528,53.65,8.65,0.01,7.65,0.02,6.65,0.02,5.65,0.02,4.65,0.02,3.67,0.02,2.71,0.06,1.84,0.18,1.11,0.46,0.57,0.94
527,53.59,8.59,0.02,7.59,0.02,6.59,0.02,5.59,0.02,4.59,0.02,3.61,0.02,2.66,0.07,1.79,0.21,1.08,0.49,0.57,0.97
526,53.66,8.65,0.01,7.65,0.02,6.65,0.02,5.65,0.02,4.65,0.02,3.66,0.02,2.71,0.06,1.84,0.19,1.12,0.47,0.59,0.96
525,53.57,8.56,0.03,7.56,0.02,6.56,0.02,5.56,0.02,4.56,0.02,3.57,0.02,2.61,0.06,1.74,0.19,1.03,0.47,0.52,0.97
524,53.53,8.53,0.01,7.53,0.02,6.53,0.02,5.53,0.02,4.53,0.02,3.54,0.02,2.59,0.06,1.72,0.2,1.02,0.49,0.51,1.0
523,53.39,8.4,0.03,7.39,0.02,6.39,0.02,5.39,0.02,4.39,0.02,3.41,0.02,2.46,0.07,1.61,0.22,0.92,0.53,0.45,1.06
522,53.45,8.45,0.03,7.45,0.02,6.45,0.02,5.45,0.02,4.45,0.02,3.46,0.02,2.51,0.06,1.64,0.19,0.94,0.48,0.45,1.02
521,53.55,8.55,0.03,7.55,0.02,6.55,0.02,5.55,0.02,4.55,0.02,3.56,0.02,2.61,0.06,1.73,0.18,1.01,0.47,0.51,0.96
520,53.49,8.48,0.01,7.48,0.02,6.48,0.02,5.48,0.02,4.48,0.02,3.5,0.02,2.54,0.06,1.67,0.19,0.97,0.49,0.47,1.01
519,53.57,8.58,0.03,7.58,0.02,6.58,0.02,5.58,0.02,4.59,0.02,3.6,0.02,2.64,0.05,1.76,0.18,1.04,0.46,0.53,0.93
518,53.19,8.18,0.03,7.18,0.02,6.18,0.02,5.18,0.02,4.19,0.02,3.2,0.02,2.27,0.08,1.44,0.25,0.79,0.61,0.36,1.2
517,53.3,8.29,0.02,7.29,0.02,6.29,0.02,5.29,0.02,4.29,0.02,3.3,0.02,2.35,0.07,1.51,0.22,0.84,0.56,0.4,1.11
516,53.24,8.23,0.01,7.23,0.02,6.23,0.02,5.23,0.02,4.24,0.02,3.25,0.02,2.3,0.07,1.46,0.23,0.8,0.56,0.36,1.14
515,53.47,8.47,0.01,7.47,0.02,6.47,0.02,5.47,0.02,4.47,0.02,3.48,0.02,2.52,0.06,1.65,0.19,0.95,0.48,0.46,1.0
514,53.17,8.16,0.01,7.16,0.02,6.16,0.02,5.16,0.02,4.16,0.02,3.18,0.02,2.24,0.08,1.41,0.25,0.77,0.61,0.34,1.2
513,53.27,8.27,0.02,7.26,0.02,6.26,0.02,5.26,0.02,4.26,0.02,3.27,0.02,2.33,0.07,1.49,0.22,0.81,0.55,0.37,1.12
512,53.32,8.33,0.01,7.33,0.02,6.33,0.02,5.33,0.02,4.33,0.02,3.33,0.02,2.38,0.05,1.51,0.18,0.82,0.5,0.36,1.05
511,53.11,8.11,0.02,7.1,0.02,6.1,0.02,5.1,0.02,4.1,0.02,3.12,0.02,2.18,0.08,1.36,0.26,0.73,0.63,0.33,1.23
510,53.03,8.02,0.01,7.02,0.02,6.02,0.02,5.02,0.02,4.03,0.02,3.04,0.02,2.11,0.08,1.29,0.27,0.67,0.65,0.28,1.28
509,52.99,8.0,0.02,7.0,0.02,6.0,0.02,5.01,0.02,4.02,0.02,3.05,0.05,2.16,0.15,1.39,0.38,0.79,0.79,0.4,1.39
508,53.0,7.99,0.01,6.99,0.02,5.99,0.02,4.99,0.02,4.0,0.02,3.04,0.06,2.15,0.17,1.39,0.4,0.8,0.81,0.4,1.43
507,52.89,7.88,0.02,6.88,0.02,5.88,0.02,4.88,0.02,3.9,0.02,2.95,0.07,2.07,0.19,1.33,0.45,0.76,0.88,0.39,1.51
506,52.99,7.98,0.01,6.98,0.02,5.98,0.02,4.98,0.02,4.0,0.02,3.04,0.07,2.16,0.18,1.41,0.43,0.83,0.85,0.42,1.46
505,53.07,8.08,0.02,7.08,0.02,6.08,0.02,5.09,0.02,4.1,0.02,3.15,0.06,2.26,0.18,1.49,0.41,0.89,0.81,0.48,1.39
504,53.0,7.99,0.01,6.99,0.02,5.99,0.02,5.0,0.02,4.01,0.02,3.07,0.07,2.19,0.2,1.44,0.45,0.86,0.86,0.45,1.47
503,52.8,7.81,0.02,6.81,0.02,5.81,0.02,4.81,0.02,3.83,0.03,2.9,0.09,2.04,0.23,1.32,0.51,0.77,0.96,0.4,1.59
502,52.67,7.68,0.01,6.68,0.02,5.68,0.02,4.69,0.02,3.71,0.03,2.77,0.09,1.92,0.24,1.21,0.53,0.68,1.0,0.33,1.67
501,52.56,7.58,0.02,6.57,0.02,5.58,0.02,4.58,0.02,3.61,0.04,2.68,0.11,1.85,0.28,1.17,0.59,0.66,1.09,0.33,1.76
500,52.7,7.69,0.01,6.69,0.02,5.7,0.02,4.7,0.02,3.73,0.04,2.8,0.11,1.97,0.27,1.27,0.57,0.74,1.05,0.38,1.7
499,52.96,7.97,0.02,6.97,0.02,5.97,0.02,4.97,0.02,3.99,0.03,3.05,0.08,2.18,0.22,1.44,0.48,0.87,0.9,0.47,1.5
498,52.93,7.92,0.01,6.92,0.02,5.92,0.02,4.93,0.02,3.95,0.03,3.01,0.08,2.14,0.22,1.41,0.49,0.84,0.92,0.44,1.54
497,52.88,7.87,0.02,6.87,0.02,5.87,0.02,4.88,0.02,3.9,0.03,2.95,0.08,2.09,0.22,1.36,0.49,0.8,0.93,0.42,1.55
496,52.65,7.64,0.01,6.64,0.02,5.64,0.02,4.65,0.02,3.68,0.04,2.76,0.12,1.93,0.3,1.25,0.61,0.73,1.09,0.37,1.76
495,52.6,7.61,0.02,6.61,0.02,5.61,0.02,4.62,0.02,3.65,0.05,2.74,0.13,1.91,0.31,1.23,0.63,0.72,1.12,0.38,1.78
494,52.67,7.68,0.01,6.68,0.02,5.68,0.02,4.69,0.02,3.72,0.04,2.79,0.11,1.96,0.28,1.27,0.58,0.74,1.06,0.38,1.72
493,52.92,7.91,0.02,6.91,0.02,5.91,0.02,4.91,0.02,3.94,0.03,3.0,0.09,2.14,0.23,1.41,0.5,0.85,0.94,0.46,1.55
492,53.16,8.15,0.01,7.15,0.02,6.15,0.02,5.16,0.02,4.18,0.03,3.24,0.08,2.37,0.21,1.61,0.46,1.01,0.86,0.57,1.43
491,52.95,7.94,0.02,6.94,0.02,5.94,0.02,4.95,0.02,3.97,0.03,3.03,0.09,2.17,0.23,1.43,0.5,0.87,0.93,0.47,1.53
490,52.81,7.8,0.01,6.8,0.02,5.8,0.02,4.81,0.02,3.84,0.04,2.91,0.11,2.07,0.27,1.36,0.56,0.82,1.02,0.43,1.65
489,52.59,7.6,0.02,6.6,0.02,5.61,0.02,4.62,0.02,3.66,0.05,2.75,0.15,1.94,0.34,1.26,0.66,0.76,1.15,0.41,1.81
488,52.47,7.48,0.01,6.49,0.02,5.49,0.02,4.51,0.02,3.55,0.07,2.66,0.18,1.87,0.39,1.22,0.74,0.74,1.25,0.39,1.93
487,52.43,7.45,0.02,6.45,0.02,5.45,0.02,4.47,0.02,3.52,0.07,2.63,0.19,1.85,0.4,1.2,0.76,0.72,1.28,0.39,1.95
486,52.24,7.25,0.01,6.25,0.02,5.26,0.02,4.28,0.03,3.34,0.09,2.47,0.22,1.71,0.46,1.1,0.85,0.65,1.4,0.34,2.11
485,52.24,7.25,0.02,6.25,0.02,5.26,0.02,4.28,0.03,3.34,0.09,2.47,0.22,1.72,0.47,1.1,0.85,0.65,1.4,0.35,2.1
484,52.08,7.09,0.01,6.09,0.02,5.1,0.02,4.13,0.04,3.2,0.11,2.35,0.26,1.61,0.52,1.03,0.94,0.6,1.51,0.31,2.24
483,52.27,7.28,0.03,6.28,0.02,5.29,0.02,4.31,0.03,3.36,0.08,2.48,0.2,1.71,0.43,1.09,0.8,0.63,1.35,0.34,2.05
482,52.17,7.18,0.01,6.18,0.02,5.19,0.02,4.21,0.03,3.27,0.07,2.41,0.23,1.66,0.48,1.06,0.88,0.62,1.44,0.32,2.16
481,52.13,7.13,0.03,6.13,0.02,5.14,0.02,4.17,0.03,3.23,0.07,2.37,0.24,1.62,0.49,1.03,0.89,0.6,1.47,0.32,2.19
480,51.74,6.74,0.03,5.74,0.02,4.76,0.04,3.8,0.06,2.89,0.11,2.07,0.33,1.38,0.64,0.85,1.11,0.48,1.74,0.24,2.52
479,51.91,6.92,0.02,5.93,0.02,4.95,0.05,3.99,0.07,3.09,0.13,2.28,0.36,1.59,0.67,1.04,1.11,0.63,1.71,0.35,2.43
478,52.01,7.0,0.01,6.01,0.02,5.03,0.05,4.07,0.07,3.16,0.12,2.34,0.34,1.63,0.63,1.07,1.06,0.65,1.65,0.36,2.38
477,51.88,6.87,0.02,5.87,0.02,4.89,0.05,3.94,0.07,3.04,0.12,2.22,0.36,1.53,0.66,0.98,1.12,0.59,1.72,0.33,2.46
476,51.69,6.71,0.01,5.71,0.02,4.73,0.06,3.79,0.09,2.9,0.15,2.11,0.41,1.44,0.74,0.92,1.22,0.55,1.85,0.29,2.61
475,51.93,6.94,0.01,5.95,0.02,4.96,0.05,4.01,0.06,3.1,0.11,2.28,0.33,1.57,0.63,1.02,1.07,0.61,1.67,0.34,2.4
474,52.17,7.18,0.01,6.17,0.02,5.18,0.04,4.22,0.05,3.3,0.09,2.45,0.29,1.72,0.56,1.13,0.97,0.69,1.53,0.38,2.24
473,52.18,7.19,0.01,6.18,0.02,5.19,0.04,4.22,0.05,3.3,0.09,2.45,0.28,1.72,0.54,1.11,0.95,0.68,1.51,0.38,2.22
472,52.13,7.13,0.03,6.14,0.02,5.15,0.04,4.18,0.05,3.27,0.1,2.42,0.29,1.7,0.57,1.11,0.97,0.68,1.55,0.38,2.25
471,52.15,7.16,0.03,6.16,0.02,5.17,0.04,4.21,0.05,3.29,0.09,2.44,0.29,1.71,0.56,1.11,0.97,0.69,1.53,0.38,2.23
470,52.18,7.17,0.03,6.18,0.02,5.19,0.04,4.23,0.05,3.31,0.09,2.46,0.29,1.73,0.56,1.14,0.96,0.7,1.53,0.4,2.22
469,52.12,7.12,0.03,6.12,0.02,5.13,0.05,4.17,0.06,3.26,0.11,2.43,0.32,1.71,0.6,1.13,1.01,0.7,1.58,0.39,2.3
468,51.84,6.84,0.03,5.85,0.02,4.87,0.06,3.92,0.08,3.02,0.14,2.22,0.38,1.53,0.69,0.98,1.14,0.6,1.76,0.33,2.49
467,52.02,7.02,0.03,6.03,0.02,5.04,0.04,4.08,0.05,3.16,0.1,2.33,0.3,1.61,0.59,1.03,1.01,0.62,1.6,0.34,2.33
466,52.01,7.03,0.01,6.03,0.02,5.04,0.04,4.08,0.06,3.16,0.1,2.33,0.31,1.62,0.59,1.04,1.02,0.63,1.6,0.35,2.32
465,51.95,6.96,0.01,5.97,0.02,4.98,0.04,4.02,0.06,3.11,0.11,2.28,0.32,1.57,0.61,1.0,1.05,0.6,1.64,0.32,2.38
464,51.79,6.79,0.03,5.8,0.02,4.81,0.05,3.86,0.07,2.96,0.12,2.14,0.35,1.46,0.67,0.91,1.13,0.54,1.75,0.29,2.5
463,52.03,7.04,0.03,6.04,0.02,5.05,0.04,4.09,0.05,3.17,0.1,2.33,0.3,1.62,0.58,1.04,1.0,0.62,1.59,0.34,2.31
462,51.99,7.0,0.01,6.0,0.02,5.01,0.05,4.06,0.07,3.15,0.12,2.33,0.34,1.63,0.64,1.06,1.07,0.64,1.66,0.36,2.38
461,52.3,7.31,0.02,6.32,0.02,5.33,0.04,4.37,0.06,3.45,0.1,2.6,0.29,1.86,0.55,1.24,0.93,0.79,1.48,0.46,2.15
460,52.29,7.3,0.01,6.3,0.02,5.31,0.04,4.34,0.05,3.42,0.1,2.58,0.29,1.84,0.55,1.22,0.94,0.77,1.47,0.44,2.17
459,52.35,7.35,0.02,6.36,0.02,5.37,0.04,4.4,0.05,3.47,0.08,2.62,0.26,1.86,0.51,1.24,0.89,0.78,1.43,0.45,2.1
458,52.52,7.53,0.01,6.52,0.02,5.53,0.03,4.56,0.03,3.62,0.06,2.74,0.22,1.96,0.44,1.32,0.79,0.82,1.29,0.47,1.97
457,52.86,7.86,0.02,6.86,0.02,5.86,0.02,4.88,0.02,3.92,0.04,3.02,0.17,2.21,0.35,1.52,0.66,0.96,1.12,0.58,1.72
456,53.07,8.08,0.01,7.07,0.02,6.08,0.02,5.09,0.02,4.13,0.04,3.21,0.14,2.38,0.31,1.66,0.59,1.08,1.0,0.65,1.6
455,53.21,8.21,0.02,7.21,0.02,6.22,0.02,5.23,0.02,4.26,0.03,3.34,0.13,2.5,0.29,1.76,0.55,1.17,0.95,0.72,1.51
454,53.42,8.43,0.01,7.42,0.02,6.42,0.02,5.43,0.02,4.46,0.03,3.53,0.11,2.67,0.25,1.91,0.49,1.29,0.86,0.8,1.4
453,53.16,8.17,0.02,7.17,0.02,6.17,0.02,5.18,0.02,4.21,0.03,3.29,0.13,2.44,0.28,1.71,0.55,1.12,0.95,0.68,1.51
